datetime,deviceId,year,month,date,time,day,laneOrder,bigVolume,bigSpeed,carVolume,carSpeed,motorVolume,motorSpeed,avgSpeed,laneOccupy,totalVolume,weekend_holiday,totalVolume_lag_1,totalVolume_lag_2,totalVolume_lag_3,totalVolume_lag_4,totalVolume_lag_5,totalVolume_lag_6,totalVolume_lag_7,totalVolume_lag_1week,totalVolume_lag_2week,totalVolume_lag_3week,totalVolume_lag_4week
2024/1/1 00:00,V021400,2024,1,1,0,1,0,9,10,177,9,181,8,8,51,367,1,518,371,427,420,337,437,430,430,415,457,362
2024/1/1 01:00,V021400,2024,1,1,1,1,0,11,10,289,9,231,9,9,43,531,1,275,436,362,286,286,338,277,277,256,288,271
2024/1/1 02:00,V021400,2024,1,1,2,1,0,7,8,276,8,154,6,7,57,437,1,250,263,221,190,227,178,200,200,221,169,193
2024/1/1 03:00,V021400,2024,1,1,3,1,0,8,11,177,10,74,8,12,52,259,1,264,216,197,142,158,180,189,189,140,151,147
2024/1/1 04:00,V021400,2024,1,1,4,1,0,10,7,152,9,75,6,8,42,237,1,130,160,146,131,126,139,116,116,152,107,121
2024/1/1 05:00,V021400,2024,1,1,5,1,0,4,13,114,10,56,7,9,43,174,1,162,142,105,124,169,128,130,130,88,97,101
2024/1/1 06:00,V021400,2024,1,1,6,1,0,7,11,142,10,49,5,9,34,198,1,141,145,130,115,212,119,115,115,113,142,120
2024/1/1 07:00,V021400,2024,1,1,7,1,0,16,12,122,9,58,6,9,46,196,1,139,206,217,227,294,238,177,177,239,209,205
2024/1/1 08:00,V021400,2024,1,1,8,1,0,26,12,119,9,86,7,8,41,231,1,198,259,624,502,693,619,543,543,574,633,500
2024/1/1 09:00,V021400,2024,1,1,9,1,0,39,11,198,9,117,7,9,52,354,1,262,349,671,735,713,554,689,689,637,622,595
2024/1/1 10:00,V021400,2024,1,1,10,1,0,30,11,151,9,82,6,8,49,263,1,306,481,725,635,608,588,550,550,504,607,521
2024/1/1 11:00,V021400,2024,1,1,11,1,0,36,10,227,9,95,7,8,51,358,1,404,508,607,497,428,475,512,512,341,473,505
2024/1/1 12:00,V021400,2024,1,1,12,1,0,40,10,360,9,142,7,8,67,542,1,559,608,707,497,606,551,741,741,619,711,616
2024/1/1 13:00,V021400,2024,1,1,13,1,0,35,11,338,9,175,7,9,67,548,1,567,706,731,557,841,739,584,584,636,546,664
2024/1/1 14:00,V021400,2024,1,1,14,1,0,35,12,354,10,144,7,9,66,533,1,603,680,805,646,476,666,561,561,780,854,665
2024/1/1 15:00,V021400,2024,1,1,15,1,0,43,10,457,9,253,9,9,69,753,1,753,885,921,684,765,818,541,541,728,605,746
2024/1/1 16:00,V021400,2024,1,1,16,1,0,34,13,465,10,267,7,9,78,766,1,801,854,963,866,745,703,655,655,735,671,765
